1,Management Occupations:,0010-0430
,Chief executives,10
,General and operations managers,20
,Legislators,30
,Advertising and promotions managers,40
,Marketing and sales managers,50
,Public relations managers,60
,Administrative services managers,100
,Computer and information systems managers,110
,Financial managers,120
,Human resources managers,130
,Industrial production managers,140
,Purchasing managers,150
,Transportation; storage; and distribution managers,160
,Farm; ranch; and other agricultural managers,200
,Farmers and ranchers,210
,Construction managers,220
,Education administrators,230
,Engineering managers,300
,Food service managers,310
,Funeral directors,320
,Gaming managers,330
,Lodging managers,340
,Medical and health services managers,350
,Natural sciences managers,360
,Postmasters and mail superintendents,400
,Property; real estate; and community association managers,410
,Social and community service managers,420
,Managers; all other,430
2,Business and Financial Operations Occupations:,0500-0950
,Agents and business managers of artists; performers; and athletes,500
,Purchasing agents and buyers; farm products,510
,Wholesale and retail buyers; except farm products,520
,Purchasing agents; except wholesale; retail; and farm products,530
,Claims adjusters; appraisers; examiners; and investigators,540
,Compliance officers; except agriculture; construction; health and safety; and transportation,560
,Cost estimators,600
,Human resources; training; and labor relations specialists,620
,Logisticians,700
,Management analysts,710
,Meeting and convention planners,720
,Other business operations specialists,730
,Accountants and auditors,800
,Appraisers and assessors of real estate,810
,Budget analysts,820
,Credit analysts,830
,Financial analysts,840
,Personal financial advisors,850
,Insurance underwriters,860
,Financial examiners,900
,Loan counselors and officers,910
,Tax examiners; collectors; and revenue agents,930
,Tax preparers,940
,Financial specialists; all other,950
3,Computer and mathematical occupations:,1000-1240
,Computer scientists and systems analysts,1000
,Computer programmers,1010
,Computer software engineers,1020
,Computer support specialists,1040
,Database administrators,1060
,Network and computer systems administrators,1100
,Network systems and data communications analysts,1110
,Actuaries,1200
,Mathematicians,1210
,Operations research analysts,1220
,Statisticians,1230
,Miscellaneous mathematical science occupations,1240
4,Architecture and Engineering Occupations:,1300-1560
,Architects; except naval,1300
,Surveyors; cartographers; and photogrammetrists,1310
,Aerospace engineers,1320
,Agricultural engineers,1330
,Biomedical engineers,1340
,Chemical engineers,1350
,Civil engineers,1360
,Computer hardware engineers,1400
,Electrical and electronic engineers,1410
,Environmental engineers,1420
,Industrial engineers; including health and safety,1430
,Marine engineers and naval architects,1440
,Materials engineers,1450
,Mechanical engineers,1460
,Mining and geological engineers; including mining safety engineers,1500
,Nuclear engineers,1510
,Petroleum engineers,1520
,Engineers; all other,1530
,Drafters,1540
,Engineering technicians; except drafters,1550
,Surveying and mapping technicians,1560
5,Life; Physical; and Social Science Occupations:,1600-1960
,Agricultural and food scientists,1600
,Biological scientists,1610
,Conservation scientists and foresters,1640
,Medical scientists,1650
,Astronomers and physicists,1700
,Atmospheric and space scientists,1710
,Chemists and materials scientists,1720
,Environmental scientists and geoscientists,1740
,Physical scientists; all other,1760
,Economists,1800
,Market and survey researchers,1810
,Psychologists,1820
,Sociologists,1830
,Urban and regional planners,1840
,Miscellaneous social scientists and related workers,1860
,Agricultural and food science technicians,1900
,Biological technicians,1910
,Chemical technicians,1920
,Geological and petroleum technicians,1930
,Nuclear technicians,1940
,Other life; physical; and social science technicians,1960
6,Community and Social Services Occupations:,2000-2060
,Counselors,2000
,Social workers,2010
,Miscellaneous community and social service specialists,2020
,Clergy,2040
,Directors; religious activities and education,2050
,Religious workers; all other,2060
7,Legal Occupations:,2100-2150
,Lawyers,2100
,Judges; magistrates; and other judicial workers,2110
,Paralegals and legal assistants,2140
,Miscellaneous legal support workers,2150
8,Education; Training; and Library Occupations:,2200-2550
,Postsecondary teachers,2200
,Preschool and kindergarten teachers,2300
,Elementary and middle school teachers,2310
,Secondary school teachers,2320
,Special education teachers,2330
,Other teachers and instructors,2340
,Archivists; curators; and museum technicians,2400
,Librarians,2430
,Library technicians,2440
,Teacher assistants,2540
