R0000100,R0536300,R0536401,R0536402,R1235800,T8122500,R1482600,S3659000,S3681000,S3697000,S3713000,S3729000,S3757000,S5041700,S6783100,S8689700,T1109400,T3186900,T4597800,T6231000,T7732100,T9133500
PUBID_1997,KEY!SEX_1997,KEY!BDATE_M_1997,KEY!BDATE_Y_1997,CV_SAMPLE_TYPE_1997,VERSION_R16_2013,KEY!RACE_ETHNICITY_1997,YEMP_OCCODE_2002_01_1997,YEMP_OCCODE_2002_01_1998,YEMP_OCCODE_2002_01_1999,YEMP_OCCODE_2002_01_2000,YEMP_OCCODE_2002_01_2001,YEMP_OCCODE_2002_01_2003,YEMP_OCCODE_2002_01_2004,YEMP_OCCODE_2002_01_2005,YEMP_OCCODE_2002_01_2006,YEMP_OCCODE_2002_01_2007,YEMP_OCCODE_2002_01_2008,YEMP_OCCODE_2002_01_2009,YEMP_OCCODE_2002_01_2010,YEMP_OCCODE_2002_01_2011,YEMP_OCCODE_2002_01_2013
1,2,9,1981,1,429,4,4760,4760,9990,4110,4110,4760,4760,4760,4760,800,800,800,800,800,800
2,1,7,1982,1,429,2,-4,-4,-4,5820,5240,500,7010,7010,-5,-5,3850,3850,3850,3850,3910
3,2,9,1983,1,429,2,-4,-4,2630,4230,4230,4230,5700,-5,-5,-5,-5,5700,-5,5700,5700
4,2,2,1981,1,429,2,-4,5160,5160,120,4760,120,120,5240,5240,5240,4840,4840,4840,5600,4840
5,1,10,1982,1,429,2,-4,-4,6210,4030,-4,-3,-3,6440,3740,3740,3740,3740,3740,3740,3740
6,2,1,1982,1,429,2,-4,-4,-4,4760,4760,4720,2540,2540,2540,2540,2540,2540,2540,2540,2300
7,1,4,1983,1,-5,2,-4,-4,-4,-4,5620,-5,-5,9610,9620,-5,-5,3920,3920,-4,-5
8,2,6,1981,1,-5,4,4060,4060,4060,4060,5400,4150,2140,2340,2340,2340,-5,710,-5,4710,-5
9,1,10,1982,1,429,4,-4,-4,-4,-4,4110,9750,9750,6260,3920,3920,3920,3920,3920,2330,2330
10,1,3,1984,1,-5,4,-4,-4,-4,-4,-4,-4,-4,-4,6260,5700,4760,4760,-5,-5,-5
11,2,6,1982,1,429,2,-4,-4,5260,-4,-3,-3,-3,-3,5700,5860,5860,5860,5860,5860,5860
12,1,10,1981,1,429,2,-4,-4,4760,520,520,10,1220,-5,4850,4850,4850,4850,4850,4850,4850
13,1,11,1984,1,429,2,-4,-4,4220,4720,4030,2000,2000,4110,4110,4110,4110,4110,4110,4110,4050
14,1,7,1980,1,-5,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,5850,-5
15,2,1,1983,1,-5,2,-4,-4,-4,-4,-4,-4,5400,4110,4040,-5,-5,4760,4760,4760,-5
16,1,2,1982,1,429,2,-4,4250,-4,-4,7420,5620,-4,-4,-4,-4,7010,7010,-4,-4,-4
17,2,11,1981,1,-5,2,-4,2000,4720,310,-5,-5,3640,-5,-5,-5,-5,-5,-5,-5,-5
18,1,2,1982,1,429,1,-4,4220,6230,-4,-5,4950,5240,5400,5610,9620,4700,-4,-4,-4,3600
19,1,4,1984,1,-5,1,-4,2020,4600,-4,-4,-4,-4,4220,4760,-5,-5,5620,9620,9620,-5
20,1,12,1980,1,-5,1,-4,4110,4130,-4,-5,-4,-4,-5,-5,-5,-5,-5,-4,-5,-5
21,1,8,1982,1,429,2,-4,9130,-4,5860,5860,2020,2140,2140,20,20,20,20,-4,-4,-4
22,1,6,1982,1,429,2,-4,-4,4220,-4,3920,3920,3920,-5,-5,3730,-5,-5,3730,-4,3730
23,2,1,1983,1,429,2,-4,-4,4720,4720,5620,-4,4700,5840,5840,50,5840,5840,50,5840,5840
24,1,6,1984,1,429,2,-4,-4,-4,-4,-4,4250,4220,9130,9620,9130,-4,-4,-4,-4,9620
