A0002500,R0000100,R0214700,R0214800,R0828000,R0945300,R1255700,R1650500,R1923100,R2317900,R2525700,R2924700,R3127400,R3523100,R3728100,R4193700,R4587901,R5270900,R6473700,R6592900
VERSION_R25_2012,CASEID_1979,SAMPLE_RACE_78SCRN,SAMPLE_SEX_1979,CPSOCC80_1982,CPSOCC80_1983,CPSOCC80_1984,CPSOCC80_1985,CPSOCC80_1986,CPSOCC80_1987,CPSOCC80_1988,CPSOCC80_1989,CPSOCC80_1990,CPSOCC80_1991,CPSOCC80_1992,CPSOCC80_1993,CPSOCC80_1994,CPSOCC80_1996,CPSOCC80_1998,CPSOCC80_01_2000
445,1,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,2,3,2,337,337,23,386,23,23,337,389,23,337,23,337,-4,-4,-4,-4
445,3,3,2,383,-4,-4,383,-4,447,468,155,468,373,188,243,-4,-4,243,19
445,4,3,2,274,-4,-4,-4,313,313,313,313,313,-5,313,313,-5,313,178,-5
445,5,3,1,355,223,223,-5,178,-5,178,178,-5,-5,-5,-5,-5,-5,-5,-5
445,6,3,1,335,389,223,203,203,235,223,223,208,386,203,235,235,83,-5,19
445,7,3,1,514,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,889,364,749,749,749
445,8,3,2,444,444,444,-3,444,319,389,389,389,389,339,389,25,25,234,234
445,9,3,1,885,505,505,505,337,19,19,243,19,503,19,19,503,19,505,505
445,10,3,2,446,405,444,444,-5,-5,447,-5,276,97,446,446,447,-5,-5,-5
445,11,3,1,389,389,19,376,-5,-5,-5,259,274,259,256,257,257,277,259,19
445,12,3,2,23,23,23,7,-5,-5,-5,-5,-5,-5,-5,7,7,-5,-5,-5
445,13,3,1,453,453,558,19,19,19,19,448,19,448,19,448,448,448,19,19
445,14,3,2,406,459,424,313,307,23,337,23,23,23,23,23,877,23,23,23
445,15,3,1,-4,486,588,365,365,366,19,-4,-4,259,274,259,259,259,263,-4
445,16,3,2,313,313,223,313,178,313,313,313,313,313,313,313,313,313,313,313
445,17,3,1,243,19,33,869,869,558,558,567,653,567,567,889,567,567,558,13
445,18,3,1,243,274,274,274,274,274,274,274,274,525,274,274,259,274,13,19
445,19,3,2,313,-5,-4,-4,313,313,-4,-4,-4,-4,-4,-4,-4,-5,-4,-5
445,20,3,2,217,217,217,217,217,185,44,57,44,217,217,217,217,217,57,217
445,21,3,2,435,319,276,313,13,13,19,256,13,13,19,19,633,13,166,13
445,22,3,2,276,404,438,225,274,313,37,197,313,313,313,379,19,389,277,19
445,23,3,1,888,-4,-5,-5,-5,-5,-5,-5,-5,25,166,-5,-5,-5,-5,-5
445,24,3,1,769,769,-5,159,806,547,889,806,806,-5,806,806,805,805,805,-5
445,25,3,2,445,678,208,445,445,445,445,445,445,445,445,446,446,445,445,445
445,26,3,1,276,274,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5
445,27,3,2,23,23,7,229,7,-4,-4,-4,-4,-4,-4,277,277,159,19,337
445,28,3,2,274,435,315,308,7,23,337,19,303,435,435,434,434,434,327,327
445,29,3,2,383,383,7,7,7,7,19,383,7,25,19,7,7,7,7,7
445,30,3,2,313,-5,313,313,389,315,337,-4,-4,-4,-4,-4,-4,-4,-4,-4
445,31,1,1,-4,364,-4,505,689,785,889,356,523,523,523,523,523,-5,523,523
445,32,1,2,313,274,243,274,274,29,37,243,-5,-5,19,243,243,19,-5,-5
445,33,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,877,389,889,888,999,-5,-5
445,34,3,1,514,505,514,514,514,514,14,759,514,514,503,514,375,505,514,19
445,35,3,2,-4,-4,389,385,385,363,796,29,796,888,746,796,796,468,14,-5
445,36,3,1,745,558,777,869,-5,584,573,243,243,243,243,243,-3,554,19,19
445,37,3,2,313,313,389,313,313,313,13,313,313,-4,-4,-4,-4,-4,313,313
445,38,3,2,383,383,383,319,319,23,338,338,338,338,338,338,338,5,305,305
445,39,3,1,437,437,437,433,433,433,19,19,19,433,433,19,19,13,27,19
445,40,3,1,777,637,637,-4,777,889,637,633,637,-4,-4,-4,27,27,27,27
